,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
passenger_count,1.0,0.0027879624584968617,0.0324065784620606,-0.05920989949820848,-0.004489342298506264,0.012014707615851402,0.024627383307986153,0.003897378444521485,0.03069014084815541,0.010284720960558581,0.012265535859239401
trip_distance,0.0027879624584968617,1.0,0.01634001003810048,0.0013388389142386257,-0.0009349879984590221,0.011158492176649248,0.011069656825976062,-3.7468245293896104e-05,0.01627443317014261,-0.02756543582252599,0.06991548624506454
fare_amount,0.0324065784620606,0.01634001003810048,1.0,0.14171105903011316,0.04973209405131173,0.5901523454780634,0.6216869296293097,0.18794284642938747,0.9803228496443668,-0.18182506856102032,0.6046478109475726
extra,-0.05920989949820848,0.0013388389142386257,0.14171105903011316,1.0,0.13021558382252,0.17451847934267314,0.21955141152803698,0.12722733434855837,0.22225063736034703,0.05444280258989447,0.2958300553557922
mta_tax,-0.004489342298506264,-0.0009349879984590221,0.04973209405131173,0.13021558382252,1.0,0.008035721327240489,-0.08117088771763609,0.8459888466690492,0.07175402116330382,0.5171232745616591,0.05708623469320814
tip_amount,0.012014707615851402,0.011158492176649248,0.5901523454780634,0.17451847934267314,0.008035721327240489,1.0,0.4645984687178185,0.07772384115818763,0.7096183287039567,-0.04191797370605805,0.40472836019813707
tolls_amount,0.024627383307986153,0.011069656825976062,0.6216869296293097,0.21955141152803698,-0.08117088771763609,0.4645984687178185,1.0,0.042564219728617805,0.6923412028736033,-0.11523235617091922,0.4702007928525147
improvement_surcharge,0.003897378444521485,-3.7468245293896104e-05,0.18794284642938747,0.12722733434855837,0.8459888466690492,0.07772384115818763,0.042564219728617805,1.0,0.20657965612807652,0.5014780843990381,0.07310420781340943
total_amount,0.03069014084815541,0.01627443317014261,0.9803228496443668,0.22225063736034703,0.07175402116330382,0.7096183287039567,0.6923412028736033,0.20657965612807652,1.0,-0.13066283818999594,0.6275833809991458
congestion_surcharge,0.010284720960558581,-0.02756543582252599,-0.18182506856102032,0.05444280258989447,0.5171232745616591,-0.04191797370605805,-0.11523235617091922,0.5014780843990381,-0.13066283818999594,1.0,-0.36099455982814554
airport_fee,0.012265535859239401,0.06991548624506454,0.6046478109475726,0.2958300553557922,0.05708623469320814,0.40472836019813707,0.4702007928525147,0.07310420781340943,0.6275833809991458,-0.36099455982814554,1.0
