,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
passenger_count,1.0,0.03709492099980222,0.039730084420449154,-0.045215769008575525,-0.01642913662198824,0.007432945097082978,0.03905492306163026,0.00014679961246348266,0.03756183204984298,0.010778952563215975,0.025335139520965638
trip_distance,0.03709492099980222,1.0,0.9001598276188895,0.09800619807605804,0.023823828270665308,0.4314881430821062,0.4066242123464458,0.041064361790575744,0.8762871800744004,-0.15139551409531674,0.4299385566342589
fare_amount,0.039730084420449154,0.9001598276188895,1.0,0.0585101070397722,0.038081297185027396,0.45200271438854006,0.42495289482223825,0.1448899503201839,0.9656822853260074,-0.1483038278680734,0.4356080053445658
extra,-0.045215769008575525,0.09800619807605804,0.0585101070397722,1.0,0.1387158485597385,0.11112859588943551,0.13949426804384096,0.12475351700958104,0.14806287494728634,0.07070941703348763,0.17021611185060387
mta_tax,-0.01642913662198824,0.023823828270665308,0.038081297185027396,0.1387158485597385,1.0,0.06527567937280879,-0.055922011491818205,0.6498145207101601,0.04226449662863354,0.38408937788904696,0.040174766610851766
tip_amount,0.007432945097082978,0.4314881430821062,0.45200271438854006,0.11112859588943551,0.06527567937280879,1.0,0.2487150692329697,0.1130258532449981,0.5921742809129347,0.08105202793367489,0.20249184471375892
tolls_amount,0.03905492306163026,0.4066242123464458,0.42495289482223825,0.13949426804384096,-0.055922011491818205,0.2487150692329697,1.0,0.039879515240365905,0.4356494208117493,-0.10141427392120841,0.5387278938482847
improvement_surcharge,0.00014679961246348266,0.041064361790575744,0.1448899503201839,0.12475351700958104,0.6498145207101601,0.1130258532449981,0.039879515240365905,1.0,0.1470685891163415,0.30219904151522153,0.06366113488109598
total_amount,0.03756183204984298,0.8762871800744004,0.9656822853260074,0.14806287494728634,0.04226449662863354,0.5921742809129347,0.4356494208117493,0.1470685891163415,1.0,-0.10547241981911601,0.4332481851906011
congestion_surcharge,0.010778952563215975,-0.15139551409531674,-0.1483038278680734,0.07070941703348763,0.38408937788904696,0.08105202793367489,-0.10141427392120841,0.30219904151522153,-0.10547241981911601,1.0,-0.41115953912307207
airport_fee,0.025335139520965638,0.4299385566342589,0.4356080053445658,0.17021611185060387,0.040174766610851766,0.20249184471375892,0.5387278938482847,0.06366113488109598,0.4332481851906011,-0.41115953912307207,1.0
